-67676,-66388
-67775,-66484
-67871,-66580
-67966,-66676
-68060,-66768
-68153,-66860
-68245,-66953
-68339,-67042
-68431,-67137
-68524,-67230
-68618,-67324
-68711,-67418
-68804,-67510
-68895,-67599
-68989,-67690
-69083,-67780
-69178,-67870
-69273,-67961
-69366,-68053
-69459,-68144
-69553,-68233
-69644,-68320
-69735,-68401
-69833,-68490
-69920,-68568
-70007,-68647
-70093,-68728
-70180,-68809
-70268,-68892
-70356,-68979
-70445,-69065
-70536,-69155
-70629,-69248
-70724,-69343
-70817,-69440
-70914,-69533
-71010,-69626
-71102,-69720
-71194,-69813
-71285,-69904
-71371,-69993
-71456,-70081
-71539,-70164
-71620,-70247
-71702,-70327
-71785,-70406
-71867,-70492
-71953,-70575
-72037,-70661
-72122,-70745
-72208,-70828
-72292,-70911
-72376,-70992
-72461,-71072
-72545,-71155
-72630,-71236
-72713,-71317
-72804,-71407
-72888,-71487
-72971,-71565
-73051,-71644
-73133,-71718
-73210,-71794
-73287,-71866
-73365,-71939
-73444,-72014
-73522,-72089
-73601,-72164
-73680,-72240
-73761,-72319
-73843,-72400
-73924,-72482
-74006,-72561
-74087,-72641
-74166,-72720
-74247,-72801
-74327,-72884
-74406,-72965
-74485,-73045
-74562,-73125
-74640,-73203
-74716,-73280
-74793,-73357
-74870,-73435
-74946,-73515
-75027,-73595
-75108,-73680
-75192,-73769
-75276,-73859
-75361,-73944
-75444,-74029
-75538,-74121
-75625,-74203
-75710,-74287
-75796,-74367
-75879,-74449
-75964,-74526
-76046,-74603
-76128,-74678
-76209,-74751
-76289,-74825
-76367,-74897
-76444,-74969
-76519,-75040
-76595,-75110
-76672,-75182
-76749,-75261
-76827,-75339
-76905,-75417
-76985,-75494
-77067,-75573
-77147,-75654
-77228,-75736
-77311,-75818
-77394,-75902
-77478,-75988
-77559,-76072
-77641,-76155
-77721,-76235
-77801,-76316
-77877,-76397
-77956,-76477
-78033,-76558
-78109,-76640
-78189,-76721
-78277,-76815
-78360,-76901
-78443,-76986
-78525,-77070
-78609,-77154
-78693,-77234
-78775,-77313
-78858,-77386
-78939,-77460
-79021,-77532
-79102,-77608
-79185,-77683
-79267,-77760
-79350,-77837
-79434,-77913
-79516,-77990
-79598,-78066
-79680,-78142
-79760,-78219
-79841,-78298
-79922,-78373
-80002,-78452
-80082,-78528
-80165,-78603
-80249,-78681
-80333,-78761
-80417,-78840
-80502,-78922
-80588,-79007
-80677,-79093
-80763,-79182
-80849,-79268
-80932,-79353
-81014,-79433
-81103,-79522
-81182,-79605
-81262,-79685
-81343,-79768
-81425,-79851
-81509,-79934
-81594,-80022
-81679,-80112
-81767,-80201
-81854,-80293
-81941,-80381
-82028,-80470
-82115,-80558
-82202,-80645
-82287,-80732
-82373,-80818
-82459,-80904
-82546,-80991
-82635,-81075
-82723,-81163
-82810,-81247
-82897,-81331
-82984,-81414
-83074,-81495
-83161,-81580
-83250,-81663
-83340,-81751
-83433,-81838
-83525,-81923
-83616,-82012
-83709,-82097
-83803,-82185
-83897,-82273
-83994,-82360
-84100,-82462
-84197,-82554
-84294,-82649
-84390,-82745
-84486,-82841
-84582,-82939
-84678,-83034
-84776,-83132
-84876,-83228
-84976,-83326
-85077,-83424
-85178,-83521
-85279,-83621
-85375,-83721
-85474,-83822
-85571,-83922
-85669,-84023
-85766,-84122
-85862,-84221
-85957,-84320
-86051,-84417
-86145,-84515
-86241,-84610
-86337,-84704
-86434,-84796
-86532,-84889
-86629,-84981
-86725,-85072
-86820,-85161
-86915,-85247
-87009,-85333
-87102,-85420
-87194,-85506
-87285,-85593
-87376,-85681
-87477,-85780
-87568,-85869
-87658,-85959
-87747,-86048
-87834,-86137
-87921,-86223
-88005,-86308
-88090,-86391
-88175,-86472
-88258,-86552
-88342,-86629
-88426,-86707
-88510,-86786
-88595,-86868
-88681,-86948
-88764,-87030
-88847,-87109
-88932,-87190
-89016,-87272
-89099,-87353
-89180,-87434
-89261,-87513
-89342,-87591
-89422,-87669
-89502,-87746
-89582,-87824
-89662,-87901
-89743,-87976
-89824,-88052
-89906,-88128
-89986,-88205
-90068,-88282
-90150,-88361
-90229,-88440
-90338,-88544
-90418,-88619
-90497,-88696
-90578,-88773
-90658,-88852
-90739,-88929
-90818,-89009
-90896,-89089
-90974,-89169
-91052,-89248
-91130,-89327
-91208,-89406
-91288,-89485
-91369,-89563
-91451,-89646
-91534,-89729
-91621,-89815
-91709,-89904
-91798,-89992
-91885,-90080
-91972,-90166
-92058,-90254
-92148,-90345
-92240,-90437
-92333,-90531
-92426,-90624
-92520,-90718
-92613,-90812
-92708,-90906
-92804,-90999
-92899,-91091
-92995,-91181
-93090,-91270
-93186,-91360
-93292,-91457
-93386,-91546
-93482,-91636
-93575,-91725
-93668,-91816
-93761,-91904
